rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27850,23339,2812,57347,1,3
27850,2812,17839,52252,92,101
27851,31699,17839,58243,43,123
27851,31699,2812,63516,82,83
27851,23339,17839,58236,152,173
27851,23339,2812,63486,9,15
27851,2259,17839,58205,248,40
27851,2259,2812,63508,114,127
27851,2812,17839,58209,13,92
27852,31699,17839,64208,29,55
27852,31699,2812,3612,80,77
27852,2259,17839,64181,209,15
27852,2259,2812,3602,132,133
27852,23339,17839,64213,122,156
27852,23339,2812,3579,13,19
27852,2812,17839,64194,12,33
27853,31699,17839,4654,241,35
27853,31699,2812,9752,86,87
27853,23339,17839,4638,68,162
27853,23339,2812,9730,8,1
27853,2259,17839,4624,190,214
27853,2259,2812,9748,122,122
27853,2812,17839,4626,15,16
27854,31699,17839,10644,197,203
27854,31699,2812,15896,77,90
27854,23339,17839,10629,58,43
27854,23339,2812,15875,10,10
27854,2259,17839,10610,141,145
27854,2259,2812,15899,134,129
27854,2812,17839,10634,166,192
27855,31699,17839,16612,187,223
27855,31699,2812,21532,81,88
27855,2259,17839,16580,98,170
27855,2259,2812,21531,140,135
27855,23339,17839,16604,233,100
27855,23339,2812,21499,17,16
27855,2812,17839,16599,144,190
27856,31699,17839,22590,177,16
27856,31699,2812,27675,81,81
27856,23339,17839,22590,28,78
27856,23339,2812,27647,16,10
27856,2259,17839,22559,141,185
27856,2259,2812,27672,146,136
27856,2812,17839,22559,207,255
27857,31699,17839,28567,186,227
27857,31699,2812,33822,85,91
27857,2259,17839,28544,101,187
27857,2259,2812,33810,134,138
27857,23339,17839,28561,3,88
27857,23339,2812,33791,9,19
27857,2812,17839,28556,150,187
27858,31699,17839,34548,169,216
27858,31699,2812,39448,88,89
27858,2259,17839,34513,97,155
27858,2259,2812,39451,134,126
27858,23339,17839,34542,248,89
27858,23339,2812,39423,21,8
27858,2812,17839,34528,165,174
27859,31699,17839,40536,133,136
27859,31699,2812,45593,79,85
27859,2259,17839,40488,78,73
27859,2259,2812,45591,121,128
27859,23339,17839,40522,231,217
27859,23339,2812,45564,8,12
27859,2812,17839,40505,105,160
27860,31699,17839,46500,57,71
27860,31699,2812,51736,88,85
27860,2259,17839,46471,223,6
27860,2259,2812,51735,140,132
27860,23339,17839,46516,109,135
27860,23339,2812,51711,20,17
27860,2812,17839,46488,29,29
27861,2259,17839,52454,170,192
27861,31699,17839,52485,238,248
27861,31699,2812,57365,83,80
27861,23339,17839,52463,74,91
27861,23339,2812,57344,11,8
27861,2812,17839,52452,203,2
27862,31699,17839,58454,176,184
27862,31699,2812,63515,80,77
27862,2259,17839,58425,97,106
27862,2259,2812,63508,122,127
27862,23339,17839,58447,13,26
27862,23339,2812,63483,12,9
